idx,stname,period,year,order,label,month,tot_day
588,via antonio giuriolo,2,2019,20192,,2019-09,2730.5789426523297
590,via antonio labriola,1,2019,20191,2019,2019-06,1376.635599078341
593,via antonio labriola,2,2019,20192,,2019-09,1216.0247311827957
596,via antonio vivaldi,1,2019,20191,2019,2019-06,510.329915514593
597,via antonio vivaldi,2,2019,20192,,2019-09,444.51684587813617
598,via arcangelo corelli,1,2019,20191,2019,2019-06,2980.9904889912955
610,via arcangelo corelli,2,2019,20192,,2019-09,3133.5537634408597
622,via aristotile fioravanti,1,2019,20191,2019,2019-06,7159.831497695853
641,via aristotile fioravanti,2,2019,20192,,2019-09,6174.612222222222
660,via arno,1,2019,20191,2019,2019-06,5217.145850705873
678,via arno,2,2019,20192,,2019-09,5387.723527905786
696,via augusto murri,1,2019,20191,2019,2019-06,8978.200623749011
756,via augusto murri,2,2019,20192,,2019-09,7941.901694362984
816,via augusto romagnoli,1,2019,20191,2019,2019-06,1323.8641577060932
822,via augusto romagnoli,2,2019,20192,,2019-09,1180.8498207885305
828,via aurelio saffi,1,2019,20191,2019,2019-06,9535.616419184162
842,via aurelio saffi,2,2019,20192,,2019-09,9037.975925925924
856,via azzurra,1,2019,20191,2019,2019-06,8233.31607782898
869,via azzurra,2,2019,20192,,2019-09,7484.5272401433685
882,via barberia,1,2019,20191,2019,2019-06,5220.8068356374815
886,via barberia,2,2019,20192,,2019-09,8.403225806451614
890,via bassa dei sassi,1,2019,20191,2019,2019-06,3361.3011520737327
896,via bassa dei sassi,2,2019,20192,,2019-09,3233.358064516129
902,via battindarno,1,2019,20191,2019,2019-06,6431.344294034818
962,via battindarno,2,2019,20192,,2019-09,5914.611429167111
1022,via bellaria,1,2019,20191,2019,2019-06,1998.9646349937823
1042,via bellaria,2,2019,20192,,2019-09,1926.1748335893499
1062,via benedetto marcello,1,2019,20191,2019,2019-06,5713.888607270866
1073,via benedetto marcello,2,2019,20192,,2019-09,5266.109811827957
1084,via borgonuovo,1,2019,20191,2019,2019-06,12.903225806451614
1085,via borgonuovo,2,2019,20192,,2019-09,0.8980286738351255
1086,via bovi campeggi,1,2019,20191,2019,2019-06,4017.6862135176652
1087,via bovi campeggi,2,2019,20192,,2019-09,1195.3978494623655
1088,via cadriano,1,2019,20191,2019,2019-06,1297.3409530209933
1116,via cadriano,2,2019,20192,,2019-09,1206.1864695340503
1144,via caduti di amola,1,2019,20191,2019,2019-06,1792.136712749616
1158,via caduti di amola,2,2019,20192,,2019-09,1729.4806451612903
1172,via caduti di casteldebole,1,2019,20191,2019,2019-06,1280.649846390169
1190,via caduti di casteldebole,2,2019,20192,,2019-09,1141.9010752688173
1208,via calabria,1,2019,20191,2019,2019-06,2094.0255248335893
1239,via calabria,2,2019,20192,,2019-09,1977.5682795698924
1270,via calamosco,1,2019,20191,2019,2019-06,3190.4188300051205
1282,via calamosco,2,2019,20192,,2019-09,2996.355734767025
1294,via camillo casarini,1,2019,20191,2019,2019-06,1426.0010752688174
1313,via camillo casarini,2,2019,20192,,2019-09,3538.7985663082436
1332,via camillo ranzani,1,2019,20191,2019,2019-06,9584.91025345622
1336,via camillo ranzani,2,2019,20192,,2019-09,8982.45017921147
1340,via capo di lucca,1,2019,20191,2019,2019-06,617.1657578084997
1345,via capo di lucca,2,2019,20192,,2019-09,619.3410394265233
1350,via cardinale g. de albornoz,1,2019,20191,2019,2019-06,3055.377956989247
1351,via cardinale g. de albornoz,2,2019,20192,,2019-09,2656.6668458781364
1352,via carlo alberto pizzardi,1,2019,20191,2019,2019-06,1491.457654889913
1361,via carlo alberto pizzardi,2,2019,20192,,2019-09,1573.2808243727598
1370,via carlo sigonio,1,2019,20191,2019,2019-06,2888.053754906981
1384,via carlo sigonio,2,2019,20192,,2019-09,1688.2785543608124
1398,via casteldebole,1,2019,20191,2019,2019-06,3093.397017409114
1425,via casteldebole,2,2019,20192,,2019-09,3275.6274193548384
1452,via castiglione,1,2019,20191,2019,2019-06,4856.780280337942
1481,via castiglione,2,2019,20192,,2019-09,2739.427822580645
1510,via cesare battisti,1,2019,20191,2019,2019-06,2292.8797363031235
1513,via cesare battisti,2,2019,20192,,2019-09,2365.8537634408603
1516,via cesare boldrini,1,2019,20191,2019,2019-06,2378.5350059737157
1519,via cesare boldrini,2,2019,20192,,2019-09,2435.5538829151733
1522,via cesare gnudi,1,2019,20191,2019,2019-06,4160.996889400922
1525,via cesare gnudi,2,2019,20192,,2019-09,3802.222759856631
1528,via cesare pavese,1,2019,20191,2019,2019-06,1024.1419098822323
1535,via cesare pavese,2,2019,20192,,2019-09,1411.3193548387098
1542,via cimabue,1,2019,20191,2019,2019-06,861.3823732718894
